Sl.No.,District,Sugar,Steel,Automobile,Garments,Casting,Cement,Dall Mills,Rice Mills,Pharmaceticals,Petroleum,Distillaries,Other,Total
1,Bangalore Urban,0,34,99,786,75,2,0,1,23,1,13,6590,7624
2,Bangalore Rural,0,8,14,44,15,3,0,1,8,4,2,784,883
3,Ramanagara,1,2,15,14,3,0,0,0,2,0,2,371,410
4,Chitradurga,0,3,1,4,0,3,0,15,0,0,0,186,212
5,Davanagere,1,6,0,18,14,0,0,90,0,0,1,131,261
6,Kolar,0,10,13,12,5,0,0,4,3,0,1,337,385
7,Chikkaballapur,0,0,0,15,0,1,0,2,1,0,2,87,108
8,Shivamogga,1,2,2,11,86,0,0,31,1,0,0,159,293
9,Tumakuru,0,6,1,18,13,2,0,68,0,0,4,496,608
10,Chikkamagaluru,0,0,0,1,1,0,0,0,0,0,0,109,111
11,Dakshina Kannada,0,3,56,5,1,0,0,6,5,7,1,665,749
12,Udupi,0,0,20,6,1,0,0,12,0,0,1,443,483
13,Hassan,1,0,2,8,0,0,1,0,1,2,1,104,120
14,Madikeri ,0,0,2,0,0,0,0,0,0,0,0,55,57
15,Mandya,5,0,2,10,1,0,0,0,0,0,2,139,159
16,Mysore ,1,4,21,13,0,0,5,3,2,2,5,658,714
17,Chamarajanagar,1,0,0,1,0,0,0,0,0,0,0,38,40
18,Belagavi,27,8,11,7,136,1,0,2,1,3,2,659,857
19,Bijapur,9,0,0,3,0,0,0,0,0,1,1,100,114
20,Bagalkote,16,0,0,1,0,6,0,0,0,0,5,55,83
21,Dharwad,0,11,21,6,9,1,1,0,1,2,2,599,653
22,Gadag,1,0,0,0,0,0,2,0,0,0,0,119,122
23,Haveri,1,0,0,3,0,2,0,0,0,0,0,140,146
24,Uttara Kannada,1,1,2,1,0,1,0,0,1,1,0,120,128
25,Ballary,3,47,0,11,2,2,0,158,3,0,4,232,462
26,Bidar,9,2,0,1,0,0,19,2,28,0,5,90,156
27,Kalburagi,3,0,0,0,0,8,59,1,0,0,1,104,176
28,Yadgir,1,0,0,0,0,0,3,16,0,0,0,63,83
29,Raichur,0,1,0,0,0,0,12,161,14,1,1,238,428
30,Koppal,0,19,0,0,2,2,0,110,0,0,0,86,219
,Grand Total,82,167,282,999,364,34,102,683,94,24,56,13957,16844
